chunk_config_id,chunk_size,chunk_overlap,chunk_category,method,k,success_at_k,mrr_at_k,ndcg_at_k,precision_at_k,recall_at_k
C1,256,32,pendek,BGE_M3_FAISS,5,0.6472945891783567,0.5082164328657315,0.5429879054934523,0.12945891783567137,0.6472945891783567
C2,512,64,sedang_baseline,BGE_M3_FAISS,5,0.6232464929859719,0.4787909151636606,0.5148011430387786,0.1246492985971944,0.6232464929859719
C3,768,96,panjang,BGE_M3_FAISS,5,0.6172344689378757,0.4862057448229793,0.5189289977689338,0.12344689378757516,0.6172344689378757
C1,256,32,pendek,HYBRID_RRF,5,0.6112224448897795,0.4019038076152305,0.45439136851157386,0.12224448897795591,0.6112224448897795
C2,512,64,sedang_baseline,HYBRID_RRF,5,0.5991983967935872,0.39859719438877755,0.44888642513376925,0.11983967935871745,0.5991983967935872
C3,768,96,panjang,HYBRID_RRF,5,0.5971943887775552,0.4389111556446226,0.47861640444664105,0.11943887775551103,0.5971943887775552
C2,512,64,sedang_baseline,BM25,5,0.593186372745491,0.4465931863727455,0.4833583013839886,0.1186372745490982,0.593186372745491
C1,256,32,pendek,BM25,5,0.5851703406813628,0.4563460253841015,0.48867094339927714,0.11703406813627255,0.5851703406813628
C3,768,96,panjang,BM25,5,0.5751503006012024,0.45975283901135605,0.48879652092440656,0.11503006012024049,0.5751503006012024
C1,256,32,pendek,BGE_M3_FAISS,10,0.717434869739479,0.5179446193975251,0.5660347128150873,0.0717434869739479,0.717434869739479
C2,512,64,sedang_baseline,BGE_M3_FAISS,10,0.6993987975951904,0.4891934662976747,0.5396586504610145,0.06993987975951904,0.6993987975951904
C3,768,96,panjang,BGE_M3_FAISS,10,0.6973947895791583,0.497119636097592,0.5450597059780384,0.06973947895791584,0.6973947895791583
C3,768,96,panjang,HYBRID_RRF,10,0.6933867735470942,0.4516374017877024,0.5096304919759816,0.06933867735470942,0.6933867735470942
C1,256,32,pendek,HYBRID_RRF,10,0.6933867735470942,0.41299185672933164,0.481088687589416,0.06933867735470942,0.6933867735470942
C2,512,64,sedang_baseline,HYBRID_RRF,10,0.6893787575150301,0.41066577599643733,0.4780742238171088,0.06893787575150301,0.6893787575150301
C1,256,32,pendek,BM25,10,0.6513026052104208,0.46513026052104206,0.5100088108853593,0.06513026052104208,0.6513026052104208
C3,768,96,panjang,BM25,10,0.6352705410821643,0.4676646944683017,0.5081185501595838,0.06352705410821644,0.6352705410821643
C2,512,64,sedang_baseline,BM25,10,0.6352705410821643,0.45202229856538473,0.49677475282427724,0.06352705410821644,0.6352705410821643
