gold_source_file,chunk_config_id,chunk_size,chunk_overlap,method,k,n_queries,success_at_k,mrr_at_k,ndcg_at_k
jdih_undiksha_ac_id.jsonl,C1,256,32,BGE_M3_FAISS,5,327,0.6666666666666666,0.52420998980632,0.5598091187540742
jdih_undiksha_ac_id.jsonl,C2,512,64,BGE_M3_FAISS,5,327,0.6391437308868502,0.4841997961264017,0.5228526731807099
jdih_undiksha_ac_id.jsonl,C1,256,32,HYBRID_RRF,5,327,0.636085626911315,0.423190621814475,0.4765336790216702
jdih_undiksha_ac_id.jsonl,C3,768,96,BGE_M3_FAISS,5,327,0.6299694189602446,0.49327217125382267,0.5273129130122335
jdih_undiksha_ac_id.jsonl,C2,512,64,HYBRID_RRF,5,327,0.617737003058104,0.40601427115188576,0.45898963830301504
jdih_undiksha_ac_id.jsonl,C2,512,64,BM25,5,327,0.6024464831804281,0.44393476044852187,0.48385865850658166
jdih_undiksha_ac_id.jsonl,C3,768,96,HYBRID_RRF,5,327,0.599388379204893,0.4425586136595311,0.48199944950864193
jdih_undiksha_ac_id.jsonl,C1,256,32,BM25,5,327,0.5963302752293578,0.45759429153924563,0.4923605870777287
jdih_undiksha_ac_id.jsonl,C3,768,96,BM25,5,327,0.5871559633027523,0.46437308868501526,0.4951846690417692
jdih_undiksha_ac_id.jsonl,C1,256,32,BGE_M3_FAISS,10,327,0.7492354740061162,0.5355941459152468,0.5868766109684002
jdih_undiksha_ac_id.jsonl,C2,512,64,BGE_M3_FAISS,10,327,0.7247706422018348,0.49597106936556473,0.5508816589481498
jdih_undiksha_ac_id.jsonl,C1,256,32,HYBRID_RRF,10,327,0.7217125382262997,0.43470219892238243,0.5043088713066328
jdih_undiksha_ac_id.jsonl,C3,768,96,BGE_M3_FAISS,10,327,0.7186544342507645,0.5054172127566623,0.5562990705381139
jdih_undiksha_ac_id.jsonl,C3,768,96,HYBRID_RRF,10,327,0.7064220183486238,0.4565700694141061,0.5163620040483378
jdih_undiksha_ac_id.jsonl,C2,512,64,HYBRID_RRF,10,327,0.7003058103975535,0.41677103053249837,0.4854120259683123
jdih_undiksha_ac_id.jsonl,C1,256,32,BM25,10,327,0.672782874617737,0.46758409785932725,0.5168673385178376
jdih_undiksha_ac_id.jsonl,C2,512,64,BM25,10,327,0.636085626911315,0.448355662346488,0.4946565675569997
jdih_undiksha_ac_id.jsonl,C3,768,96,BM25,10,327,0.6330275229357798,0.4705936605019174,0.510111947816672
undiksha_ac_id_pmb.jsonl,C1,256,32,BGE_M3_FAISS,5,25,0.6,0.42,0.4646198197203178
undiksha_ac_id_pmb.jsonl,C3,768,96,BGE_M3_FAISS,5,25,0.6,0.386,0.43834098197614535
